data-season	data-episode	prime-season	prime-episode	prime-link	netflix-season	netflix-episode	netflix-link
1	1	1	1	https://www.primevideo.com/detail/0JGLVIJM3JLBTT8469ZQNRYV3Z?autoplay=1	1	1	https://www.netflix.com/watch/81439328
1	2	1	2	https://www.primevideo.com/detail/0KIYY6IWRUI7X7Y23YYGWHO5AO?autoplay=1	1	2	https://www.netflix.com/watch/81439329
1	3	1	3	https://www.primevideo.com/detail/0G0ZQX9VP6ETM1JT9HOOZXYZPC?autoplay=1	1	3	https://www.netflix.com/watch/81439330
1	4	1	4	https://www.primevideo.com/detail/0GDS3T9NUXQRKNHE73BGUL7I0C?autoplay=1	1	4	https://www.netflix.com/watch/81439331
1	5	1	5	https://www.primevideo.com/detail/0PDQIBRQ3E2QCILQCFOWV4TYSS?autoplay=1	1	5	https://www.netflix.com/watch/81439332
1	6	1	6	https://www.primevideo.com/detail/0TRG9ACUB20G4KLUVIJKYIXV0W?autoplay=1	1	6	https://www.netflix.com/watch/81439333
1	7	1	7	https://www.primevideo.com/detail/0S3RX52B098ZY7L2E0B38KB5S2?autoplay=1	1	7	https://www.netflix.com/watch/81439334
1	8	1	8	https://www.primevideo.com/detail/0QBU4P3H7BKKWQJLQBYPNSRL11?autoplay=1	1	8	https://www.netflix.com/watch/81439335
1	9	1	9	https://www.primevideo.com/detail/0KAG1L7GNE8XLANZKNXNH3QXPO?autoplay=1	1	9	https://www.netflix.com/watch/81439336
1	10	1	10	https://www.primevideo.com/detail/0RIGNNQQV2QJ4EA4XRBIF7GPZ5?autoplay=1	1	10	https://www.netflix.com/watch/81439337
1	11	1	11	https://www.primevideo.com/detail/0FFOHFYPRYXLZ7IL1IH69T7OGP?autoplay=1	1	11	https://www.netflix.com/watch/81439338
1	12	1	12	https://www.primevideo.com/detail/0NLSPVTCN217OSVR12G7F7KJNE?autoplay=1	1	12	https://www.netflix.com/watch/81439339
1	13	1	13	https://www.primevideo.com/detail/0HSXJD96GZI0H1K97G15U2CDK8?autoplay=1	1	13	https://www.netflix.com/watch/81439340
